time,01JP301D01,01JP301D05
2022-04-18 02:13:35+00:00,0.0,
2022-04-18 02:13:46+00:00,,0.0
2022-04-18 02:14:15+00:00,,0.0
2022-04-18 02:14:34+00:00,0.0,
2022-04-18 02:14:44+00:00,,0.0
2022-04-18 02:15:13+00:00,,0.0
2022-04-18 02:15:33+00:00,0.0,
2022-04-18 02:15:42+00:00,,0.0
2022-04-18 02:16:11+00:00,,0.0
2022-04-18 02:16:32+00:00,0.0,
2022-04-18 02:16:40+00:00,,0.0
2022-04-18 02:17:09+00:00,,0.0
2022-04-18 02:17:31+00:00,0.0,
2022-04-18 02:17:38+00:00,,0.0
2022-04-18 02:18:07+00:00,,0.0
2022-04-18 02:18:30+00:00,0.0,
2022-04-18 02:18:36+00:00,,0.0
2022-04-18 02:19:05+00:00,,0.0
2022-04-18 02:19:29+00:00,0.0,
2022-04-18 02:19:34+00:00,,0.0
2022-04-18 02:20:03+00:00,,0.0
2022-04-18 02:20:28+00:00,0.0,
2022-04-18 02:20:32+00:00,,0.0
2022-04-18 02:21:01+00:00,,0.0
2022-04-18 02:21:27+00:00,0.0,
2022-04-18 02:21:30+00:00,,0.0
2022-04-18 02:21:59+00:00,,0.0
2022-04-18 02:22:26+00:00,0.0,
2022-04-18 02:22:28+00:00,,0.0
2022-04-18 02:22:57+00:00,,0.0
2022-04-18 02:23:25+00:00,0.0,
2022-04-18 02:23:26+00:00,,0.0
2022-04-18 02:23:55+00:00,,0.0
2022-04-18 02:24:24+00:00,0.0,0.0
2022-04-18 02:24:53+00:00,,0.0
2022-04-18 02:25:22+00:00,,0.0
2022-04-18 02:25:23+00:00,0.0,
2022-04-18 02:25:51+00:00,,0.0
2022-04-18 02:26:20+00:00,,0.0
2022-04-18 02:26:22+00:00,0.0,
2022-04-18 02:26:49+00:00,,0.0
2022-04-18 02:27:18+00:00,,0.0
2022-04-18 02:27:21+00:00,0.0,
2022-04-18 02:27:47+00:00,,0.0
2022-04-18 02:28:16+00:00,,0.0
2022-04-18 02:28:20+00:00,0.0,
2022-04-18 02:28:45+00:00,,0.0
2022-04-18 02:29:14+00:00,,0.0
2022-04-18 02:29:19+00:00,0.0,
2022-04-18 02:29:43+00:00,,0.0
2022-04-18 02:30:12+00:00,,0.0
2022-04-18 02:30:18+00:00,0.0,
2022-04-18 02:30:41+00:00,,0.0
2022-04-18 02:31:10+00:00,,0.0
2022-04-18 02:31:17+00:00,0.0,
2022-04-18 02:31:39+00:00,,0.0
2022-04-18 02:32:08+00:00,,0.0
2022-04-18 02:32:16+00:00,0.0,
2022-04-18 02:32:37+00:00,,0.0
2022-04-18 02:33:06+00:00,,0.0
2022-04-18 02:33:15+00:00,0.0,
2022-04-18 02:33:35+00:00,,0.0
2022-04-18 02:34:04+00:00,,0.0
2022-04-18 02:34:14+00:00,0.0,
2022-04-18 02:34:33+00:00,,0.0
2022-04-18 02:35:02+00:00,,0.0
2022-04-18 02:35:13+00:00,0.0,
2022-04-18 02:35:31+00:00,,0.0
2022-04-18 02:36:00+00:00,,0.0
2022-04-18 02:36:12+00:00,0.0,
2022-04-18 02:36:29+00:00,,0.0
2022-04-18 02:36:58+00:00,,0.0
2022-04-18 02:37:11+00:00,0.0,
2022-04-18 02:37:27+00:00,,0.0
2022-04-18 02:37:56+00:00,,0.0
